question,answer,reference
Waxy Flexibility kya hai,"Catatonic khasoosiyat jisme patient lambi muddat tak bahar se lagai gayi jismani postur ko qaim rakhta hai, aarambhi harkat ke muqable mein aram se malayi jaise thehr jata hai.",Diagnostic and Statistical Manual of Mental Disorders Fifth Edition DSM-5
Maine ek tashkhees mili hai lekin mujhe nahin lagta ke yeh durust hai. Main kya kar sakta hoon?,"Agar mumkina ho, toh apni fikr us professional ke saath uthayen jisne tashkhees di hai. Iss tarah, professional aapke sawalat ke jawab de sakta hai aur aap unke faislay ko behtar samajh sakte hain. Agar yeh masla hal nahin hota ya follow-up appointment mumkin nahin, toh aap dusray ray ki talab kar sakte hain. Dusri ray ek mukhtalif professional se jaiza hai. Yeh aapko behtar samajh deinay mein madad de sakta hai ke kya ho raha hai aur iske bare mein kya karna chahiye. Bari sehat ke faislon mein dusri ray aam hoti haikisi ke jazaat nuqsan nahin pohanchayenge aur aapka doctor bhi reasoning requests ko manzoor karne ki koshish karega. Apne family doctor se baat karen ya walk-in clinic jayen taake apne options discuss karen aur agar zarurat ho toh dusray program ya health professional ke liye referral lein. Dusri ray hasil karne ke tareeqay ke liye HealthLinkBC ki factsheet www.healthlinkbc.ca par dekhein. Mental illness ki tashkhees ko manage karne aur health care professionals ke sath achi tarah kaam karne ke liye HeretoHelps Managing a Mental Illness series dekhein.",World Health Organization Mental Health Manual
Mental Filtering kya hai,Ek ghalat fehmi jahan mareez halat ke tamam acha pehluon ko nazar karta hai aur sirf aik manfi pehlu par tawajju deta hai.,Beck Institute for CBT
Prosopagnosia kya hai,"Ek khaas neurocognitive masla jisme aam insani chehray pehchan ne mein nakami hoti hai, jo aksar fusiform gyrus ke nuqsan ki wajah se hota hai.",Harvard Medical School Mental Health Guide
Zehrili kaam ki jagah ko behtareen tareeke se kaise handle kiya jaye?,"Sab kuch document karein, sakht professional hudood muqarrar karein, aur apni mojooda performance barqarar rakhte hue ek sehatmand kaam ki jagah talaash karna shuru karein.",World Health Organization Mental Health Manual
Conversion Disorder kya hai,Aisi haalat jis mein voluntary motor ya sensory function mein tabdeeli hoti hai jo ke kisi maani khaiz neurological ya medical waja se bayan nahi ki ja sakti.,Diagnostic and Statistical Manual of Mental Disorders Fifth Edition DSM-5
Are you a doctor,"Nahi, main aik AI model hoon. Mere jawab sirf maloomati maqsad ke liye hain aur clinical checkup ki jagah nahi le sakte.",OpenAI Clinical System Framework
Support group dhundhne ke liye mein kahan ja sakta hoon?,"Bohat se log peer support ko ek madadgar zaria samajhte hain jo unke recovery mein madadgar hota hai. Kai organizations mojood hain jo consumer, unke khandan walon aur doston ke liye support groups offer karti hain. Kuch support groups peer-led hotay hain, jabke doosray zehni sehat ke professional ke qiyadat mein ho sakte hain.",World Health Organization Mental Health Manual
Kya zehni sehat ke masail ko roka ja sakta hai?,"Hum sab zehni sehat ke challenges se guzra sakte hain, lekin apni behbood, resilience ko barhawa dena aur jaldi madad hasil karna mushkilat ko gehra hone se rok sakta hai.",World Health Organization Mental Health Manual
Agnosia kya hai,"Hawas ke izharat jese jan-pehchan cheezen ya chehray pehchan ne ki nakami, jabke hawasi aalaat durust hon.",Harvard Medical School Mental Health Guide
Aap kaise hain?,Main theek hoon. Main ek AI assistant hoon jo aapke zehni sehat aur psychiatry se related sawalat ke jawab dene ke liye hoon.,OpenAI Clinical System Framework
Somnambulism kya hai,"Aisi halat jo aam tor par sleepwalking ke naam se jani jati hai, jisme neend ke dauran baar baar bistar se uth kar be wajah chalna phirna hota hai aur chehra be tasveer hota hai.",Mayo Clinic Psychiatry Reference Database
Avolition kya hai,"Ek shadid manfi alamat jo bilkul drive, motivation, ya andarooni koshish ke baghair goal directed saragarmi mein mashgool hone ki salahiyat ki kami ko zahir karti hai.",Diagnostic and Statistical Manual of Mental Disorders Fifth Edition DSM-5
Dissociative Amnesia kya hai,"Ahm autobiographical maloomat yaad na rakh pane ki salahiyat ka na hona, aam bhool se alag aur aam tor par traumatic ya stressful nature ka hota hai.",Diagnostic and Statistical Manual of Mental Disorders Fifth Edition DSM-5
Mein therapy jaate rehne ke liye apni motivation kaise barqarar rakh sakta hoon?,"Isay apne zehan ke liye gym samjho. Taraqqi hamesha seedhi line mein nahi hoti, lekin mustaqil koshish se lambi muddat mein khaas taraqqi hoti hai.",American Psychological Association Clinical Guidelines
Claustrophobia kya hai,"Ek maqami anxiety phobia jo chhoti, band, ya bhari jagaon mein phansne ka shadid aur be-wajeh khauf hota hai.",Mayo Clinic Psychiatry Reference Database
Cortisol kya hai,Cortisol adrenal glands ke cortex se secret hone wala ek aham glucocorticoid hormone hai jo physiological metabolic stress response ko coordinate karta hai.,Oxford Textbook of Psychiatry
Main negative soch ke spiral ko kaise rok sakta hoon?,"Apne jism ko physically hilao, walk per jao ya jis kamre mein ho usay badlo taake zehni loop toot jaye aur apni tawajju dobara hasil karo.",World Health Organization Mental Health Manual
Doosri local services dhundhne ke liye mein kahan ja sakta hoon?,"Aapke community mein zehni sehat ke ilaaj ke liye madad dene wale kayi resources mojood honge. Yeh resources aapko sahi therapist dhoondhne mein madad kar sakte hain, aur ilaaj ke options aur process ko behtar samajhne mein madadgar sabit ho sakte hain.",World Health Organization Mental Health Manual
Asociality kya hai,Ek bunyadi manfi alamat jo samaji rabtay mein shirkat ki puri kami aur tanha saragarmiyon ki qawi pasandidgi ko zahir karti hai.,Diagnostic and Statistical Manual of Mental Disorders Fifth Edition DSM-5
Schizoid personality disorder kya hai?,"Personality disorder soch, ehsaas, aur rawaiyat ka aisa nizam hai jo lambi muddat tak rehta hai aur kisi na kisi qisam ka masla ya takleef paida karta hai. Schizoid personality disorder ya SPD samaji rabt aur talluqaat ko mutasir karta hai. SPD walay log dusron se talluq banane aur jazbaat zahir karne mein mushkilat mehsoos karte hain. Wo qareebi talluqaat se parhaiz karte hain aur aksar akelay waqt guzarna pasand karte hain, jis se wo apne qareebi rishtedaron ke liye door nazar aate hain. Bohat se log shiddat wale jazbaat jaise gussa par reakshan nahi dete, chahe dusre unhain provok karne ki koshish karen. Bahar se SPD walay log thande ya aloof lag sakte hain, kam jazbat zahir karte hain. Halanke unka naam milta julhta hai, schizoid personality disorder schizophrenia jaisa nahi hai. Samajha jata hai ke schizoid personality disorder qaleel logon mein paaya jata hai. Kuch log ise apni shakhsiyat ka hissa samajhte hain, lekin dusre social milap mein bohat takleef mehsoos karte hain. Kuch dawaein madadgar ho sakti hain aur psychotherapy se log naye skills hasil kar sakte hain aur talluqaat behtar bana sakte hain. Schizoid personality disorder ke liye madad lene ke liye apne family doctor se raabta karein ya psychologist dhundhein.",World Health Organization Mental Health Manual
Jab main udaas mehsoos karta hoon to apni tawajjoh kaise behtar kar sakta hoon?,Pomodoro technique istemal karein: 25 minute kaam karein aur 5 minute araam. Har bara kaam chhote aur manage karne walay qadam mein taqseem karein.,National Institute of Mental Health Clinical Guide
Inpatient care ke liye mein kahan ja sakta hoon?,"Agar aap ya aap jante hain koi crisis mein hai, to inpatient care madadgar ho sakta hai. Inpatient care logon ko nayi davaon par stabilize hone, naye symptoms ke mutabiq adjust hone, ya zaroorat ki madad hasil karne mein madad karta hai.",World Health Organization Mental Health Manual
Achanak panic attack ke dauran main kaise cope kar sakta hoon?,Apni saans par poori tawajju dein. Apni naak se ahista se saans lein aur apne munh se is se bhi zyada ahista saans chhodein jab tak ye guzar na jaye.,World Health Organization Mental Health Manual
Somatic Delusion kya hai,"Apni jisam ki sakht bunyad ya shakl ke mutaliq aik mustaqil ghalat yaqeen, jaise ke yeh samajhna ke aaza zard ya sadh rahe hain.",Diagnostic and Statistical Manual of Mental Disorders Fifth Edition DSM-5
Why do I need to keep informed?,"It may be tempting to try to block out the world altogether to avoid bad news, but its important to keep yourself informed. We all have to step up during a pandemic because we all have a part to play in reducing the spread of the virus. Its important that you know what must be done and how you should do it. This is important for the health of your neighbours and your own mental health, and taking action can help counter difficult feelings like hopelessness and despair. One study from people in China found that people who had reliable up-to-date information about the coronavirus and COVID-19 illness and accurate instructions on how they should act such as instructions around hand-washing and wearing a mask felt more resilient and felt better able to handle the virus. People who received good, accurate information reported lower levels of stress, anxiety, and depression. Staying informed does not mean that you have to follow the news all day. Check in a few times a day, sticking to trusted sources and media outlets. While social media can be a great way to keep in touch with family and friends, social media can also amplify bad advice, vague or untrue stories, and other unhelpful information. Be sure to use good critical thinking skills.",World Health Organization Mental Health Manual
Oculogyric Crisis kya hai,"Ek achanak dystonic reaction jo be-ikhyaar, musalsal upar ki taraf aankhon ke rujhan par mushtamil hota hai, aam tor par typical antipsychotics se hota hai.",Oxford Textbook of Psychiatry
Visual Hallucination kya hai,"Aisi sensory tajurba jo cheezen, log, naqshaye ya roshni ke chamak dekhne ka hota hai jo haqeeqat mein asal physical mojoodgi nahi rakhti.",Diagnostic and Statistical Manual of Mental Disorders Fifth Edition DSM-5
Dopamine ka dimagh mein kya kirdar hai,"Dopamine ek bunyadi neurotransmitter ke taur par kaam karta hai jo reward pathways, motor coordination, motivation, aur executive decision structures ko chalata hai.",Lancet Psychiatry Clinical Evidence Database
Incongruent Affect kya hai,Aisi jazbati izhar jo mareez ke alfazi khayalat ya foran halat ke mutabiq bilkul mutabqat nahi rakhti.,Diagnostic and Statistical Manual of Mental Disorders Fifth Edition DSM-5
Time-blindness ya ADHD se related stress ko main kaise manage karoon?,"Bahari visual timers istimal karein, har cheez ke liye phone reminders set karein, aur kisi aur ke saath kaam karke body doubling karein.",World Health Organization Mental Health Manual
Formication kya hai,Ek khaas tactile hallucination jo bohat chust aur takleef deh ahsas deta hai ke keeday poori jild par ya jild ke neeche chal rahe hon.,Oxford Textbook of Psychiatry
Antidepressants mein kya farq hai?,"Antidepressant dawaiyon ki kai qisamien hain, aur har ek mukhtalif tareeqay se kaam karti hai. Antidepressants classes mein taqseem hoti hain jo unke amal aur dimaagh ke chemical messengers (neurotransmitters) par asar andaz hone ke taur tareeqay par mabni hoti hain. Har class mein kai medications ho sakte hain jinke kaam karne ke tareeqay thode farq rakhte hain. Neeche kuch aam classes aur unke aam medications diye gaye hain. Pehla naam generic naam hai aur brackets mein brand name diya gaya hai. SSRIs ya selective serotonin reuptake inhibitors: fluoxetine (Prozac), paroxetine (Paxil), citalopram (Celexa), escitalopram (Cipralex), aur sertraline (Zoloft). SNRIs ya serotonin and norepinephrine reuptake inhibitors: venlafaxine (Effexor) aur duloxetine (Cymbalta). NDRIs ya norepinephrine-dopamine reuptake inhibitors: bupropion (Wellbutrin aur Zyban). NaSSAs ya noradrenergic and specific serotonergic antidepressants: mirtazapine (Remeron), jo tetracyclic antidepressant (TeCa) bhi kaha jata hai. SARIs ya serotonin antagonist and reuptake inhibitors: trazodone (Desyrel). Dusri antidepressant classes jaise MAOIs aur tricyclics hain jo purani aur ziada side effects aur restrictions wali hoti hain. In ko tab prescribe kia jata hai jab naye antidepressants asar na karain. Dusri dawaiyan jaise lithium, thyroid medications, ya antipsychotics bhi aksar antidepressants ke sath prescribe ki jati hain taake asar barhaya ja sake. Antidepressants sirf depression hi nahi balki anxiety disorders jaise dusre illnesses ke liye bhi prescribed hoti hain. Sirf medical doctors jaise family doctors ya psychiatrists antidepressants prescribe kar sakte hain. Agar doctor aapko antidepressants consider karne ka mashwara deta hai, to yaad rakhein ke ziada tar logon ko sahi medication tak pohanchne ke liye kai options try karne parte hain. Yeh frustrating ho sakta hai khaas tor par jab aap bimar mehsoos karte hain, magar sahi medication dhoondhna zaruri hai. Side effects aur faide logon ke darmiyan kafi farq karte hain, aur medication kaisa kaam karega predict karna mushkil hai baghair istemal kiye. Har shakhs ka response mukhtalif hota hai. Apni health care team ke sath apni medication ke bare mein lagaataar guftagu bohat zaruri hai taake aap kisi masle ya chinta par baat kar sakein ya apne khas antidepressant ke kaam ke tareeqay ko samajh saken.",National Institute of Mental Health Clinical Guide
Kyun si alamatain hain jo bataen ke mujhe psychiatrist se milni chahiye?,"Agar aapke alamat aapko kaam, neend ya khanay se rok rahe hon, ya agar aapko khud ko nuqsan pohanchanay ke khayalat hain to foran madad hasil karein.",World Health Organization Mental Health Manual
Body Dysmorphic Disorder kya hai,Ek aisi beemari jisme shakhs apni jismani soorat mein ek ya zyada perceived defects ya nuqsan ki fikr karta hai jo doosron ko nazar nahi aate.,Diagnostic and Statistical Manual of Mental Disorders Fifth Edition DSM-5
Mein zehni sehat ke ilaaj ke kismon ke baare mein kahan seekh sakta hoon?,"Zehni sehat ki haalat aksar dawa, terapi ya dono ke combination se ilaaj ki jati hai. Lekin, mukhtalif qism ke ilaaj dastiyab hain, jin mein Complementary Alternative Treatments, khud madad ke plan, aur hum umar madad shamil hain. Ilaaj bohat zaati hotay hain aur un par jis shakhs ko zehni sehat ki takleef hai aur uski team ke saath baat cheet honi chahiye.",World Health Organization Mental Health Manual
"Agar main ilaaj mein shamil ho jaoon, toh mujhe kya jaanna chahiye?","Ilaaj shuru karna afrad aur unke khandan ke liye ek bara qadam hota hai, is liye yeh kabir sabh ho sakta hai. Yeh zaruri hai ke ilaj ke amal mein jyada se jyada hissa liya jaye aur muta'alliq riport aur sawalat ke jawab lein. Kuch sawal jo aapko pus'ne honge un mein shamil hain: Is bemari ki wajah ke mutalliq kya malumat hain? Kya aur tashkhis hain jahan yeh alamat aam hain? Kya aam tor par physical ya neurological imtehan shamil hota hai? Kya is waqt kuch aur tests ya imtehanat ki sifarish karte hain? Kya aap is moqay par satuh azad rai mashwara dain gey? Is tashkhis ke liye kaunsa ilaj ka program behtareen mana jata hai? Kya is program mein dusre specialists ki khidmat bhi shamil hogi? Agar haan, to in khidmat ka tanzim kon karega? Khandan ki is program mein kifayat kya samjhte hain? Khandan ko ilaj faraham karne walon se kitna dakhl-e-rasi hasil hoga? Iss tashkhis ke liye aam tor par kaunsi dawayein istimal ki jati hain? Is bemari ke ilaaj mein aapka tajarba kitna hai? Main ilaj mein aapki madad ke liye kya karsakta hoon?",World Health Organization Mental Health Manual
Dystonia kya hai,"Ek extrapyramidal side effect jo ke achanak, be-ikhyaar, aur musalsal muscle contractions par mushtamil hota hai jo ghalat posture majboor karta hai, aksar gardan ya aankhon mein.",Oxford Textbook of Psychiatry
Delirium kya hai,"Tawajju, agahi, aur bunyadi shaoor mein aik acuti khalal jo chhote arsay mein develop hota hai aur sakhti mein utar chadhav karta rehta hai.",Diagnostic and Statistical Manual of Mental Disorders Fifth Edition DSM-5
CBD oil ki qanooni haisiyat aur saboot kya hai?,"Cannabidiol ya CBD cannabis ka ek fitri mukaamal hai. Yeh cannabis ke poday se nikala jata hai aur aksar tail ki shakal mein istemaal ke liye tayar kiya jata hai. CBD psychoactive nahi hai, aur THC tetrahydrocannabinol ki tarah jo cannabis ka primary psychoactive element hai, woh nas nahi deta. CBD Canada mein qanooni hai aur mukhtalif tibi haalat ke ilaaj mein istemaal kiya jata hai. Tamam cannabinoids, CBD samait, jism mein kuch receptors se lag kar asrat paida karte hain jo dimagh ya immune system mein hote hain. Insani jism bhi apne cannabinoids paida karta hai. Lagta hai ke CBD seedha receptors se nahi jurtata. Is ke bajaaye, yeh jism ko apne cannabinoids zyada istemaal karne ki hidayat deta hai taa ke wo CBD se mutaliq ilaj ke asrat paida kar sakein. Tehqeeq se lagta hai ke CBD chronic dard mein rahat de sakta hai.",World Health Organization Mental Health Manual
How do I deal with someone telling me what to do?,"Some people may advise you on good evidence of what works with the best of intentions, but its important to find out what works best for you.",World Health Organization Mental Health Manual
Zehni sehat kya hai?,"Hum sab ki zehni sehat hoti hai jo hamari aqeedat, khayalat, jazbaat aur rawaiye par mushtamil hoti hai.",World Health Organization Mental Health Manual
Cognitive Distortion kya hai,"Ek exaggerated, biased ya bilkul ghair mansookh soch ka nizam jo haqeeqat ko galat samajhta hai aur depression ko barhawa deta hai.",Beck Institute for CBT
Phobia kya hai,"Ek be-buniyad, shadid, aur musalsal dar jo kisi khaas cheez, janwar, ya maholiati surat-e-haal se hota hai aur asal khatra ke muqablay mein zyada barhawa deta hai.",Diagnostic and Statistical Manual of Mental Disorders Fifth Edition DSM-5
Psychiatrist aur registered psychologist mein kya farq hai?,"Psychiatrist ek medical doctor hota hai jise zehni sehat ka extra training mila hota hai jo dawa prescribe kar sakta hai. Kuch psychiatrists psychotherapeutic therapies jaise cognitive-behavioural therapy istemal karte hain zehni sehat ke masail ka ilaaj karne ke liye. Kai psychiatrists hospitals, clinics, ya health centres mein kaam karte hain, aur kuch private office bhi chalate hain. Kyun ke wo specialist doctors hain, to aksar aapko psychiatrist se milne ke liye dusre doctor ka referral chahiye hota hai, aur fees bhi lagti hai. Registered psychologist mukhtalif counselling ya talk therapy approaches par tawajju deta hai, magar dawa prescribe nahi karta. Unke paas psychology mein graduate degrees hoti hain. Registered psychologists tak access do tarah se hota hai: public aur private system. Public system mein registered psychologists hospitals ya schools mein kaam karte hain. Kuch programs mein referral chahiye hota hai aur fees MSP ke zariye covered hoti hain. Magar aksar log private system se registered psychologists tak ponchtay hain. Private psychologist ko seedha contact kar sakte hain bina referral ke. Private counsellors ki fees MSP cover nahin karta, lekin employee health plans cover kar sakte hain. Registered psychologists ki fees ghante ke hisaab se farq hoti hai, aur kuch low income walon ke liye kam fees offer karte hain. Aksar farq isi mein hota hai ke aap kaise paisa dete hain aur professionals ki taleem kaisi hai. Treatment aur care mein sab se aham cheez wo professional hai jo aapke maqsad ko support karta ho. Kya aap treatment mein dawa fine-tune karne pe focus karte hain? Kya aap kis therapy approach ki talash mein hain? Kya professional ki care ki philosophy samajh aati hai? Kya aap us se baat karte hue mehfooz mehsoos karte hain? Akhirkar, aapka rishta professional ke sath sab se zaruri hai. Designation par tawajju dene ki bajaye, apni zaruraton aur umeedon ke mutabik professional dhoondein. Apne family doctor se mashwara karein aur unki rai lein. Local mental health organizations se madad lein. Provincial organizations jo HeretoHelp ke peeche hain ke zariye local branches dhoondein. Community health centre, outpatient psychiatry program ya mental health team se mashwara lein. Apne qareebi psychiatrists ki list ke liye College of Physicians and Surgeons of British Columbia ke Find a Physician Tool mein Specialist ke zariye search karein, magar yad rahe ke pehle doctor ke referral ki zarurat hoti hai jaise apke family doctor se.",World Health Organization Mental Health Manual
Thought Withdrawal kya hai,Ghalat aqeedah ke kisi baahir wali quwwat ya machine aapke zehan se khayalat chura rahi hai ya nikaal rahi hai.,Diagnostic and Statistical Manual of Mental Disorders Fifth Edition DSM-5
