question,answer,reference
تلقيت تشخيصًا ولكني لا أعتقد أنه صحيح. ماذا يمكنني أن أفعل؟,إذا كان ذلك ممكنًا، اطرح مخاوفك مع المختص الذي قدم التشخيص. بهذه الطريقة يمكن للمختص الإجابة عن أسئلتك ويمكنك فهم قراره بشكل أفضل. إذا لم يحل ذلك المشكلة أو لم يكن من الممكن تحديد موعد متابعة، يمكنك طلب رأي ثانٍ. الرأي الثاني هو تقييم من مختص آخر. يمكن أن يمنحك فهمًا أفضل لما يحدث وماذا تفعل حيال ذلك. تعتبر الآراء الثانية شائعة في القرارات الصحية الكبرى – لن تجرح مشاعر أحد وسيحاول طبيبك تلبية طلبات الرأي الثاني المعقولة. تحدث إلى طبيب عائلتك أو اذهب إلى عيادة بدون موعد لمناقشة خياراتك والحصول على إحالة إلى برنامج أو مختص صحي مختلف إذا لزم الأمر. للمزيد من المعلومات حول كيفية الحصول على رأي ثانٍ، راجع كتيب HealthLinkBC على www.healthlinkbc.ca. لنصائح عامة حول إدارة تشخيص مرض نفسي والتعاون الجيد مع المختصين الطبيين، راجع سلسلة HeretoHelp لإدارة المرض النفسي.,المنظمة العالمية للصحة دليل الصحة النفسية
ما هو الترشيح الذهني,انحراف حيث يقوم المريض بتصفية جميع الجوانب الإيجابية لموقف ما، مركزًا فقط على عنصر سلبي واحد.,معهد بيك للعلاج السلوكي المعرفي
ما هي بروصوباجنوزيا,اختلال معرفي عصبي محدد يتميز بعدم القدرة على التعرف على الوجوه البشرية المألوفة، وغالبًا ما يكون ناجمًا عن إصابات في التلم المغزلي.,دليل الصحة النفسية لكلية الطب جامعة هارفارد
ما هي أفضل طريقة للتعامل مع بيئة عمل سلبية؟,سجل كل شيء، وضع حدودًا مهنية صارمة، وابدأ بالبحث عن مكان عمل أكثر صحة مع الحفاظ على أدائك الحالي.,دليل منظمة الصحة العالمية للصحة النفسية
ما هو اضطراب التحويل,حالة تظهر بوظيفة حركية أو حسية طوعية متغيرة ليس لها تفسير عصبي أو طبي معروف.,الدليل التشخيصي والإحصائي للاضطرابات العقلية الطبعة الخامسة DSM-5
هل أنت طبيب؟,لا، أنا نموذج ذكاء اصطناعي. مخرجاتي معلوماتية فقط ولا يمكن استبدالها بالفحص الطبي السريري.,إطار نظام أوبن أي آي السريري
أين يمكنني الذهاب للعثور على مجموعة دعم؟,يعثر الكثير من الناس على الدعم من الأقران كأداة مفيدة يمكن أن تساعد في شفائهم. هناك مجموعة متنوعة من المنظمات التي تقدم مجموعات دعم للمستهلكين وأفراد عائلاتهم وأصدقائهم. بعض مجموعات الدعم يقودها الأقران، في حين قد يقود البعض الآخر متخصص في الصحة النفسية.,دليل منظمة الصحة العالمية للصحة النفسية
هل يمكنك الوقاية من مشاكل الصحة النفسية؟,يمكن للجميع أن يعانوا من تحديات الصحة النفسية، لكن تطوير رفاهيتنا، والمرونة، وطلب المساعدة مبكرًا يمكن أن يساعد في منع تحول التحديات إلى مشاكل خطيرة.,الدليل الإرشادي لمنظمة الصحة العالمية للصحة النفسية
ما هو الأجنوزيا,عدم القدرة على التعرف أو تفسير الانطباعات الحسية، مثل الأجسام أو الوجوه المألوفة، رغم سلامة الأعضاء الحسية الطرفية.,دليل الصحة النفسية لكلية الطب جامعة هارفارد
كيف حالك,أنا بخير. أنا مساعد ذكاء اصطناعي هنا لمساعدتك في الإجابة على أسئلتك المتعلقة بالصحة النفسية والطب النفسي.,إطار نظام OpenAI الإكلينيكي
ما هو السَّمَنَبُلِيزم,حالة تُعرف عامة بالمشي أثناء النوم، وتتضمن نوبات متكررة من النهوض من السرير أثناء النوم والمشي بوجه خالي من التعبير.,قاعدة بيانات مايو كلينيك للطب النفسي
ما هو الأفوليشن,عرض سلبي شديد يتضمن نقصًا مطلقًا في الدافع أو التحفيز أو المبادرة الداخلية للمشاركة في الأنشطة الموجهة نحو الهدف.,الدليل التشخيصي والإحصائي للاضطرابات العقلية الإصدار الخامس DSM-5
ما هو فقدان الذاكرة التفارقي,عدم القدرة على استرجاع معلومات ذاتية مهمة، عادة ذات طبيعة صادمة أو مُجهدة، وتكون غير متوافقة مع النسيان العادي.,الدليل التشخيصي والإحصائي للاضطرابات النفسية الطبعة الخامسة DSM-5
كيف أحافظ على الدافع للذهاب إلى العلاج النفسي؟,اعتبره كصالة ألعاب رياضية لعقلك. التقدم ليس دائماً خطيًا، لكن الجهد المستمر يؤدي إلى نمو طويل الأمد ملحوظ.,إرشادات الجمعية الأمريكية للطب النفسي
ما هو رهاب الأماكن المغلقة؟,هو رهاب قلق متمركز يتضمن خوفًا شديدًا وغير منطقي من التواجد داخل أماكن صغيرة ومغلقة أو محصورة.,قاعدة بيانات الطب النفسي لمركز مايو كلينك
ما هو الكورتيزول,الكورتيزول هو هرمون جلوتوكورتيكويد رئيسي يُفرز من قشرة الغدد الكظرية لتنسيق الاستجابة الفيزيولوجية للضغط الأيضي.,كتاب أوكسفورد في الطب النفسي
كيف أتوقف عن دوامة التفكير السلبية؟,حرك جسدك فعليًا اذهاب للمشي أو تغيير الغرفة التي أنت فيها لكسر الحلقة الذهنية وإعادة تركيزك.,دليل الصحة النفسية لمنظمة الصحة العالمية
أين يمكنني الذهاب للعثور على خدمات محلية أخرى؟,من المرجح أن هناك العديد من الموارد التي يمكن استخدامها لمساعدتك في العثور على علاج الصحة النفسية في مجتمعك. يمكن لهذه الموارد مساعدتك على العثور على المعالج المناسب، وتمكينك من فهم خيارات العلاج الممكنة وعملية العلاج بشكل أفضل.,دليل منظمة الصحة العالمية للصحة النفسية
ما هو العزلة الاجتماعية؟,عرض سلبي أساسي يتمثل في غياب التحفيز تماما للمشاركة في التفاعل الاجتماعي وتفضيل قوي للأنشطة الفردية.,الدليل التشخيصي والإحصائي للاضطرابات النفسية الإصدار الخامس DSM-5
ما هو اضطراب الشخصية الانفصامية (schizoid personality disorder)؟,اضطراب الشخصية هو نمط من الأفكار والمشاعر والسلوكيات يدوم لفترة طويلة ويتسبب في نوع من المشكلة أو الضيق. يؤثر اضطراب الشخصية الانفصامية (SPD) على التفاعلات الاجتماعية والعلاقات. قد يجد الأشخاص المصابون بـ SPD صعوبة في التفاعل مع الآخرين وإظهار المشاعر. قد يتجنبون العلاقات القريبة ويفضلون قضاء وقتهم بمفردهم، ويبدون بعيدين حتى عن أفراد الأسرة المقربين. كثير من الناس لا يستجيبون للمشاعر القوية مثل الغضب، حتى عندما يحاول الآخرون استفزازهم. يبدو الأشخاص المصابون بـ SPD من الخارج باردين أو متحفظين، ويظهرون قليلًا من العاطفة. على الرغم من التشابه في الاسم، فإن اضطراب الشخصية الانفصامية ليس هو نفسه انفصام الشخصية (الفصام). يُعتقد أن اضطراب الشخصية الانفصامية غير شائع نسبيًا. بينما قد يراه بعض الأشخاص المصابين به كجزء من شخصيتهم، قد يشعر آخرون بقدر كبير من الضيق، خاصة في التفاعلات الاجتماعية. قد تساعد بعض الأدوية الأشخاص في إدارة الأعراض، وقد تساعد العلاجات النفسية الأشخاص على بناء مهارات جديدة وتحسين العلاقات. للعثور على مساعدة بخصوص اضطراب الشخصية الانفصامية، تحدث إلى طبيب العائلة أو ابحث عن أخصائي نفسي.,World Health Organization Mental Health Manual
كيف يمكنني تحسين تركيزي عندما أشعر بالاكتئاب؟,استخدم تقنية بومودورو اعمل لمدة 25 دقيقة واسترح 5. قسم كل مهمة كبيرة إلى خطوات صغيرة قابلة للإدارة.,الدليل السريري للمعهد الوطني للصحة العقلية
أين يمكنني الذهاب للحصول على رعاية داخل المستشفى؟,إذا كنت أنت أو شخص تعرفه يمر بأزمة، يمكن أن تساعد الرعاية داخل المستشفى. تساعد الرعاية داخل المستشفى الأشخاص على الاستقرار على الأدوية الجديدة، والتكيف مع الأعراض الجديدة، أو الحصول على المساعدة التي يحتاجونها.,دليل منظمة الصحة العالمية للصحة النفسية
كيف أتعامل مع نوبة هلع مفاجئة؟,ركّز تماماً على تنفسك. استنشق ببطء من أنفك وزفر ببطء أكبر من فمك حتى تمر النوبة.,دليل الصحة العقلية لمنظمة الصحة العالمية
ما هو الوهم الجسدي؟,اعتقاد ثابت وخاطئ بخصوص وظيفة أو مظهر الجسم، مثل الاعتقاد بأن الأعضاء تتعفن.,الدليل التشخيصي والإحصائي للاضطرابات النفسية الطبعة الخامسة DSM-5
لماذا أحتاج لأن أبقى مطلعًا؟,قد يكون من المغري محاولة عزل نفسك تمامًا لتجنب الأخبار السيئة، لكن من المهم أن تبقى مطلعًا. علينا جميعًا أن نتكاتف خلال جائحة لأن لكل منا دور في تقليل انتشار الفيروس. من المهم أن تعرف ما يجب أن يُفعل وكيف يجب أن تفعله. هذا مهم لصحة جيرانك وصحتك النفسية، واتخاذ الإجراءات يمكن أن يساعد في مواجهة مشاعر صعبة مثل اليأس والقنوط. وجدت دراسة أجريت على أشخاص في الصين أن الذين حصلوا على معلومات موثوقة ومحدثة عن فيروس كورونا ومرض كوفيد-19 وتعليمات دقيقة عن كيفية التصرف، مثل غسل اليدين وارتداء الكمامة، شعروا بمزيد من الصلابة وقدرة أفضل على التعامل مع الفيروس. الأشخاص الذين تلقوا معلومات جيدة ودقيقة أبلغوا عن مستويات أقل من التوتر والقلق والاكتئاب. البقاء مطلعًا لا يعني متابعة الأخبار طوال اليوم. تحقق عدة مرات في اليوم، وابقَ على مصادر ووسائل إعلام موثوقة. بينما يمكن أن تكون وسائل التواصل الاجتماعي وسيلة رائعة للبقاء على اتصال مع العائلة والأصدقاء، فإنها قد تضخم أيضًا النصائح السيئة، القصص الغامضة أو غير الصحيحة، ومعلومات أخرى غير مفيدة. تأكد من استخدام مهارات التفكير النقدي الجيدة.,الدليل الإرشادي لمنظمة الصحة العالمية للصحة النفسية
ما هي أزمة الحركة العينية,ردة فعل ديستونية حادة تتكون من انحراف العينين اللا إرادي والمستمر للأعلى، عادة ما يُثار بواسطة مضادات الذهان النموذجية.,Oxford Textbook of Psychiatry
ما هي الهلوسة البصرية,التجربة الحسية لرؤية أشياء أو أشخاص أو أنماط أو وميض من الضوء لا وجود حقيقي لها في الواقع.,الدليل التشخيصي والإحصائي للاضطرابات النفسية الطبعة الخامسة DSM-5
ما هو دور الدوبامين في الدماغ,يعمل الدوبامين كناقل عصبي رئيسي يدير مسارات المكافأة، التنسيق الحركي، الدافع، وهياكل اتخاذ القرار التنفيذي.,قاعدة بيانات الأدلة السريرية للطب النفسي لانسيت
ما هو التأثير غير المتوافق,تعبير عاطفي يتنافر بوضوح مع المحتوى الفعلي للأفكار اللفظية للمريض أو السياق الظرفي الفوري.,الدليل التشخيصي والإحصائي للاضطرابات العقلية الإصدار الخامس DSM-5
كيف أدير ضعف الوعي بالوقت أو التوتر المرتبط باضطراب فرط الحركة وتشتت الانتباه؟,استخدم مؤقتات بصرية خارجية، عيّن تذكيرات على الهاتف لكل شيء، واستخدم تقنية التضاعف الجسدي بالعمل في وجود شخص آخر.,دليل الصحة النفسية لمنظمة الصحة العالمية
ما هو فورميكيشن,هلوسة لمسية محددة تتميز بشعور حي ومزعج بزحف الحشرات على الجلد أو تحته.,كتاب أكسفورد لعلم النفس الطبّي
ما الفرق بين مضادات الاكتئاب؟,هناك العديد من أنواع أدوية مضادات الاكتئاب المختلفة، وكل منها يعمل بطرق مختلفة. تُقسم مضادات الاكتئاب إلى فئات بناءً على ما تقوم به وأي الناقلات العصبية في الدماغ يُعتقد أنها تؤثر عليها. قد تحتوي كل فئة على عدة أدوية مختلفة لكل منها طرق عمل تختلف قليلاً. أدناه، ستجد التصنيفات الشائعة وأمثلة على الأدوية الشائعة. الاسم الأول هو الاسم العام والاسم بين الأقواس هو الاسم التجاري. مثبطات استرداد السيروتونين الانتقائية SSRIs مثل فلوكسيتين (بروزاك)، باروكسيتين (باكسيل)، سيتالوبرام (سيليكس)، إسكيتالوبرام (سيبراليكس)، وسيرترالين (زولوفت). مثبطات استرداد السيروتونين والنورإبينفرين SNRIs مثل فينلافاكسين (إفكسور) ودولوكسيتين (سيمبالتا). مثبطات استرداد النورإبينفرين-الدوبامين NDRIs مثل بوبروبيون (ويلبوترين وزايبان). مضادات مستقبلات النورأدرينالية والسيروتونينية الخاصة NaSSAs مثل ميرتازابين (ريميرون) الذي يمكن أيضًا تصنيفه كمضاد اكتئاب رباعي الحلقات TeCa. مضادات مستقبلات السيروتونين ومثبطات الاسترداد SARIs مثل ترازيدون (ديسيريل). هناك فئات أخرى من مضادات الاكتئاب مثل مثبطات مونوامين أوكسيديز MAOIs أو الأدوية ثلاثية الحلقات التي هي أقدم ولها آثار جانبية أو قيود أكثر. توصف عادة عندما لا تعمل مضادات الاكتئاب الحديثة. قد توصف أدوية أخرى مثل الليثيوم، أدوية الغدة الدرقية، أو مضادات الذهان، غالبًا مع مضاد اكتئاب لتعزيز تأثيره. لا تُستخدم مضادات الاكتئاب فقط لعلاج الاكتئاب بل قد توصف لعلاج أمراض أخرى مثل اضطرابات القلق.لا يمكن وصف مضادات الاكتئاب إلا من قبل الأطباء، مثل أطباء العائلة أو الأطباء النفسيين. إذا أوصى طبيبك بالنظر في مضادات الاكتئاب، فضع في اعتبارك أن معظم الناس يحتاجون لتجربة عدة خيارات مختلفة قبل العثور على الدواء المناسب. قد تكون عملية محبطة، خصوصًا عندما تشعر بعدم الراحة، ولكن من المهم إيجاد شيء ينجح معك. يمكن أن تختلف الآثار الجانبية والفوائد بين الأشخاص، ومن الصعب التنبؤ بكيفية عمل الدواء دون تجربته أولاً. كل شخص يستجيب لها بشكل مختلف. من المهم جدًا إجراء مناقشات مستمرة مع فريق الرعاية الصحية بشأن أدويتك لتتمكن من طرح أي مشاكل أو مخاوف أو حتى الاستفسار أكثر عن كيفية عمل مضاد الاكتئاب الخاص بك.,المعهد الوطني للصحة النفسية دليل سريري
ما هي بعض العلامات التي تدل على حاجتي لرؤية طبيب نفسي؟,إذا كانت أعراضك تمنعك من العمل أو النوم أو الأكل، أو إذا كانت لديك أفكار إيذاء الذات، فاطلب المساعدة فورًا.,دليل الصحة النفسية لمنظمة الصحة العالمية
ما هو اضطراب تشوه الجسم,اضطراب يتميز بالانشغال بعيب أو أكثر في المظهر الجسدي يُعتقد وجوده ولكنه غير ملحوظ للآخرين.,الدليل التشخيصي والإحصائي للاضطرابات النفسية الطبعة الخامسة DSM-5
أين يمكنني التعرف على أنواع علاج الصحة النفسية؟,تُعالج حالات الصحة النفسية غالبًا بالأدوية أو العلاج أو مزيج من الاثنين معًا. ومع ذلك، هناك العديد من أنواع العلاج المتاحة، بما في ذلك العلاجات التكميلية والبديلة، وخطط المساعدة الذاتية، ودعم الأقران. العلاجات شخصية جدًا وينبغي مناقشتها من قبل الشخص الذي يعاني من الحالة الصحية النفسية وفريقه.,دليل الصحة النفسية لمنظمة الصحة العالمية
إذا شاركت في العلاج، ما الذي أحتاج إلى معرفته؟,نظرًا لأن بدء العلاج خطوة كبيرة للأفراد والعائلات، فقد يكون الأمر مربكًا جدًا. من المهم أن تكون متورطًا ومشاركًا في عملية العلاج قدر الإمكان. بعض الأسئلة التي ستحتاج إلى إجابة عليها تشمل: ما المعروف عن سبب هذا المرض بالتحديد؟ هل هناك تشخيصات أخرى حيث تكون هذه الأعراض شائعة؟ هل تقوم عادةً بإجراء فحص جسدي أو عصبي؟ هل هناك اختبارات أو فحوص إضافية توصي بها في هذه المرحلة؟ هل تنصح بالحصول على رأي مستقل من طبيب نفسي آخر في هذه المرحلة؟ ما هو برنامج العلاج الأكثر فائدة مع هذا التشخيص؟ هل يشمل هذا البرنامج خدمات من متخصصين آخرين؟ إذا كان الأمر كذلك، من سيكون مسؤولاً عن تنسيق هذه الخدمات؟ ما هو الدور الذي تراه للعائلة في برنامج العلاج هذا؟ إلى أي مدى يمكن للعائلة الوصول إلى الأفراد الذين يقدمون العلاج؟ ما الأدوية التي تستخدم عادة مع هذا التشخيص؟ ما مدى خبرتك في علاج الأفراد الذين يعانون من هذا المرض؟ ماذا يمكنني أن أفعل لمساعدتك في العلاج؟,دليل الصحة النفسية لمنظمة الصحة العالمية
ما هي الديستونيا,أثر جانبي خارج هرمي يتمثل في تقلصات عضلية حادة، لا إرادية ومستدامة تجبر على وضعية غير طبيعية، غالباً في الرقبة أو العينين.,Oxford Textbook of Psychiatry
ما هو الهذيان,اضطراب حاد في الانتباه والوعي والمعرفة الأساسية يتطور خلال فترة قصيرة ويميل إلى التذبذب في شدته.,الدليل التشخيصي والإحصائي للاضطرابات العقلية الطبعة الخامسة DSM-5
