Questions,Answers,References
Mujhe aur kahan madad mil sakti hai?,"Madad ke liye jahan jana hai woh masla aur alamat ke fitrat par munhasir hota hai aur jo aapke liye behtareen manah hota hai. Aksar, behtareen jagah hai kisi aise shakhs se baatcheet karna jise aap bharosa karte hain, jaise ghar walay, dost, mazhabi rehnuma, sehat ke provider, ya dusre professionals. Samaji himayat zeheni bemari se shifa ke liye zaruri hai, aur aap unse un professionals ke hawale ya rehnmai maang sakte hain. Apne ilaqe mein zeheni sehat ke wasail dhoondein. Dusri baat, Nebraska mein log aur jagahen hain jo baat karne, sunne, aur aap ke safar mein madad faraham karte hain. Tisri baat, bohat se log apne peer support ko madadgar samajhte hain jo unki recovery mein madad karta hai. Mukhtalif tanzimaat support groups faraham karti hain jo mazurin, unke ghar walon, aur doston ke liye hoti hain. Kuch support groups peer led hote hain jabke dusre zeheni sehat ke professional ke qabuat mein hote hain.",World Health Organization Mental Health Manual
Nayi dawa shuru karne se pehle mujhe kya jaanna chahiye?,"Dawayi malumat ka behtareen zariya doctor hai jo dawa prescribe karta hai. Woh aapke sawalat ke jawab dene mein qadir hona chahiye jaise: 1. Yeh dawa kya karti hai? 2. Kab iska asar shuru hoga aur kaise pata chale ke yeh asar daar hai? 3. Dawa kaise aur kitni der tak leni hai? Konse ghizayein, mashroobat, dusri dawayen aur sargrmiyan is dawa ke dauran parhez karni chahiyein? 4. Side effects kya ho sakte hain aur agar hon to kya karna chahiye? 5. Agar dose miss ho jaye to kya karna chahiye? 6. Kya is dawa ke mutalliq koi likhi hui malumat dastiyab hai? 7. Kya aur koi dawayen munasib ho sakti hain? 8. Agar haan, to aap ne jis dawa ka intekhab kiya hai uski kyu pasandidgi hai? 9. Aap dawayon ki monitoring kaise karte hain aur konsay alamat is baat ka isharah hain ke dose badhai jaye, kam ki jaye, ya tabdil karni chaiye? 10. Sab dawayen hidayat ke mutabiq leni chahiyein. Zeheni bemari ke liye ziadatar dawaein agar ghair munazzam li jaayein to kaam nahi karti aur zyada dose se sakht ya khatarnak side effects ho sakte hain. Bohat se zeheni davaein chand hafton tak lene ke baad hi behtari ka asar dikhati hain.",World Health Organization Mental Health Manual
"Agar dawa lene ke baad main behtar mehsoos karun, kya iska matlab hai ke main theek ho gaya hoon aur dawa lena band kar sakta hoon?","Yeh aam baat hai ke log apni dawa lena band kar dete hain jab woh mehsoos karte hain ke alamat qabu mein hain. Kuch log dawa ke side effects ki wajah se bhi use chhod dete hain, baghair samjhay ke aksar side effects ko asani se manage kiya ja sakta hai. Jabke dawa lena chhor dena uchit lagta hai, masla yeh hai ke ziadatar alamat wapas aa jate hain. Agar aap ya aapka bacha dawa le raha hai, to bohat zaruri hai ke aap apne doctor ke saath milkar treatment mein badlao ki faislay karein. Aap unse baat karein ke aap kaise kar rahe hain aur agar side effects hain jo aapko ilaaj jari rakhne se rok rahay hain. Woh aapke saath milkar in side effects ko kam karne ki strategies banayenge ya aise ilaaj ki mansuba bandi karenge jo aapke liye behtareen ho.",World Health Organization Mental Health Manual
Main apni dawa ke kharche mein madad kaisay le sakta hoon?,"Kuch dawaiyan faraham karne wali companies fani madad programs dastiyab karti hain jo fainasiyal zarurat walay afrad aur khandan ke liye hoti hain, jabke kuch khas riyayat cards faraham karti hain. Ye programs aam tor par doctor ki razamindi aur aap ki maashi haalat ka sabut mangte hain. Kuch programs is shart par bhi hotay hain ke aap ke paas sehat ki bemaari ya dawa ki sahulat na ho. Is ke elawa, kuch prescription programs bhi hain jin ke liye aap pristari ho saktay hain. Mazeed malumat ke liye Healthfinder.gov par jane ki salaah di jati hai.",World Health Organization Mental Health Manual
Mujhe therapi kahan mil sakti hai?,"Therapi ki mukhtalif qisamhein zyada moasar hoti hain jo zeheni sehat ke halat aur alamat aur un shakhs par mabni hoti hain jinke paas wo hain. Misal ke taur par, bachon ko aisay therapist se faida hota hai jo bacho ki zeheni sehat ki takhassus rakhte hain. Lekin, kayi mukhtalif ilaj aur therapy ke tareeqe hain jo madad kar sakte hain.",American Psychological Association Clinical Guidelines
Mein zehni sehat ke ilaaj ke kismon ke baare mein kahan seekh sakta hoon?,"Zehni sehat ki haalat aksar dawa, terapi ya dono ke combination se ilaaj ki jati hai. Lekin, mukhtalif qism ke ilaaj dastiyab hain, jin mein Complementary Alternative Treatments, khud madad ke plan, aur hum umar madad shamil hain. Ilaaj bohat zaati hotay hain aur un par jis shakhs ko zehni sehat ki takleef hai aur uski team ke saath baat cheet honi chahiye.",World Health Organization Mental Health Manual
Zehni sehat ke mukhtalif professionalism kya hain?,Zehni sehat ke kai qism ke professionalism mojood hain. Ap ke liye sahi professional dhundhna thoda research talab kar sakta hai.,World Health Organization Mental Health Manual
Support group dhundhne ke liye mein kahan ja sakta hoon?,"Bohat se log peer support ko ek madadgar zaria samajhte hain jo unke recovery mein madadgar hota hai. Kai organizations mojood hain jo consumer, unke khandan walon aur doston ke liye support groups offer karti hain. Kuch support groups peer-led hotay hain, jabke doosray zehni sehat ke professional ke qiyadat mein ho sakte hain.",World Health Organization Mental Health Manual
Inpatient care ke liye mein kahan ja sakta hoon?,"Agar aap ya aap jante hain koi crisis mein hai, to inpatient care madadgar ho sakta hai. Inpatient care logon ko nayi davaon par stabilize hone, naye symptoms ke mutabiq adjust hone, ya zaroorat ki madad hasil karne mein madad karta hai.",World Health Organization Mental Health Manual
Doosri local services dhundhne ke liye mein kahan ja sakta hoon?,"Aapke community mein zehni sehat ke ilaaj ke liye madad dene wale kayi resources mojood honge. Yeh resources aapko sahi therapist dhoondhne mein madad kar sakte hain, aur ilaaj ke options aur process ko behtar samajhne mein madadgar sabit ho sakte hain.",World Health Organization Mental Health Manual
Clinical trials ke baare mein mazeed maloomat mein mein kahan seekh sakta hoon?,"Kabhi kabhi, zehni sehat ki service ke istamal karne wale consumers research study mein shamil hone par ghour karte hain jab unhein behtari ka tajurba nahi hota, chahe unho ne mukhtalif davaon aur ilaaj azmaaye hoon. Research studies ya clinical trials mein naye davaon ya naye ilaaj ki approaches ka istemal hota hai jinki suraksha aur asar darustgi test ki jati hai. Hum field mein naye tareeqe ko support karte hain, lekin consumers ko clinical trials ke risks se waqif hona chahiye aur shamil hone se pehle un se agah rehna chahiye.",World Health Organization Mental Health Manual
Psychiatric Advance Directive banane ke baare mein mazeed maloomat kahan mil sakti hai?,"Medical advance directive ya health care power of attorney ki tarah, psychiatric advance directive ek kanooni dastavez hai jo sehatmand waqt mein tayar kiya jata hai aur ismein us zehni sehat ke crisis ke douran ilaj ya services ke liye apni khwahishat aur instructions di jati hain, jo us ki care ko mutasir kar sakti hain.",World Health Organization Mental Health Manual
Zehni sehat kya hai?,"Hum sab ki zehni sehat hoti hai jo hamari aqeedat, khayalat, jazbaat aur rawaiye par mushtamil hoti hai.",World Health Organization Mental Health Manual
Agar support madad na kare to mein kya karoon?,"Mushkil ho sakta hai wo cheezen dhundhna jo aap ki madad karengi, kyun ke mukhtalif cheezen mukhtalif logon ke liye madadgar hoti hain. Yeh zaruri hai ke aap mukhtalif approaches ke liye khula dimaag rakhein aur sahi madad dhundhne ke liye pur-azm rahain, aur umeed barqarar rakhein, chahe kuch cheezen kaam na karein.",World Health Organization Mental Health Manual
Kya zehni sehat ke masail ko roka ja sakta hai?,"Hum sab zehni sehat ke challenges se guzra sakte hain, lekin apni behbood, resilience ko barhawa dena aur jaldi madad hasil karna mushkilat ko gehra hone se rok sakta hai.",World Health Organization Mental Health Manual
Kya zehni sehat ke masail ke ilaaj mumkin hain?,"Yeh aksar zyada haqeeqat pasand aur madadgar hota hai ke jaanen ke aap ke masail ke liye kya madad karta hai. Baat cheet, counselling, dawa, dosti, warzish, achi neend aur ghizaiyat, aur maani khiz masroofiyat sab madadgar ho sakte hain.",World Health Organization Mental Health Manual
Zehni sehat ke masail kyun paida hote hain?,"Zehni sehat ke challenges ya masail zehniati, jismani aur samaji masail ke sath sath zindagi ke waqiat se bhi paida ho sakte hain.",World Health Organization Mental Health Manual
Agar mein apni zehni sehat ke khatrey mein hoon to mein kya karoon?,"Sab se zaruri baat yeh hai ke aap kisi aise shakhs se baat karein jisse aap yakeen karte hain. Yeh koi dost, saathi, family member, ya GP ho sakta hai. Kisi se baat karne ke ilawa, yeh bhi mufeed ho sakta hai ke aap apne tajurbe ke baray mein mazeed maloomat hasil karen. Yeh cheezen aapko samajhne mein madad kar sakti hain ke aap kya feel kar rahe hain aur madad hasil karne ka aaghaz ho sakti hain.",World Health Organization Mental Health Manual
Mein kaise jaane ke mein beemar hoon?,"Agar aap ke aqeedat, khayalat, jazbaat ya rawaiye aap ki day-to-day zindagi mein aam tareeqe se kaam karne par aham asar dal rahe hain to madad lena zaruri ho jata hai.",World Health Organization Mental Health Manual
Agar mein apne dost ya rishtedar ke bare mein pareshan hoon to mein kya karoon?,"Yeh aapke rishtay par mabni hai. Ek shafqat bhara tareeqa yeh ho sakta hai ke aap unhein munasib support hasil karne ke liye rai dein, jo shuruat ke liye madadgar hoga.",World Health Organization Mental Health Manual
How do I deal with someone telling me what to do?,"Some people may advise you on good evidence of what works with the best of intentions, but its important to find out what works best for you.",World Health Organization Mental Health Manual
Why do I need to keep informed?,"It may be tempting to try to block out the world altogether to avoid bad news, but its important to keep yourself informed. We all have to step up during a pandemic because we all have a part to play in reducing the spread of the virus. Its important that you know what must be done and how you should do it. This is important for the health of your neighbours and your own mental health, and taking action can help counter difficult feelings like hopelessness and despair. One study from people in China found that people who had reliable up-to-date information about the coronavirus and COVID-19 illness and accurate instructions on how they should act such as instructions around hand-washing and wearing a mask felt more resilient and felt better able to handle the virus. People who received good, accurate information reported lower levels of stress, anxiety, and depression. Staying informed does not mean that you have to follow the news all day. Check in a few times a day, sticking to trusted sources and media outlets. While social media can be a great way to keep in touch with family and friends, social media can also amplify bad advice, vague or untrue stories, and other unhelpful information. Be sure to use good critical thinking skills.",World Health Organization Mental Health Manual
How can I tell if health information is good or bad?,"Anyone can post anything online. Its up to the readers to think critically about information to decide if it seems helpful, truthful, or safe. Here are key points to keep in mind as you determine which information is worth considering and which information doesnt pass the test. Its so easy to spread information online, and we cant assume that the source were reading or watching is the original source. Before you can evaluate anything, you need to know where the claims come from and determine if its a reliable source. Reliable sources on the coronavirus and COVID-19 illness include the World Health Organization WHO, Government of Canada ministries and agencies like Health Canada and the Public Health Agency of Canada, the Government of BC ministries and agencies like the BC Ministry of Health, and the BC Centre for Disease Control BCCDC. Scientists and researchers at universities and other institutions and health sciences professionals are also important sources of information. Headlines and titles need to be simple and short, so they can sometimes be misleading on their own. They may also be purposefully shocking or controversial to entice you to click to read more. Websites that belong to governments, government-funded agencies, well-known health providers, universities, or groups of medical professionals are generally the most reliable. Be careful of sites that dont list the author or dont tell you much about themselves. Double-check the author and the credentials of any experts quoted or cited to see if they are actually experts in the topic being discussed. Can you find other evidence from other sources to support the claims? Does the author list their sources? Are the sources legitimate, like research journals? Unhelpful sources want you to feel a certain way scared, angry, distrustful, vulnerable. Phrases like Skyrocketing rates of infection are sensational and theyre meant to make people feel afraid. On the other hand, factual statements like We have 50 new cases in BC give you important information without playing into your emotions. Helpful news or information sources want you feel informed and empowered. Who is paying for the site? What products or services are being advertised? What links or other sites do they promote? Are you learning something from a story or experience, or are you simply being directed to buy a product or service? Social media can be a great way to keep in touch with family and friends, especially as we practice physical distancing or self-isolation. Social media can also be an important way to learn from health experts and connect to support services and mutual aid groups in your community. Like any other source of information, its important to use good critical thinking skills when you use social media. Studies find that searching for health information on social media generally has very mixed results. Youll see both very poor-quality sources next to good-quality sources, and its up to you to decide which is which. In addition, social media posts tend to be short and rarely capture everything you need to consider. They are generally useful as a way to start learning or exploring different points of view rather than a place to gather all the information. Visit www.mediasmarts.ca to learn more about digital and media literacy Visit www.healthnewsreview.org to learn more about thinking critically around health claims this resource is no longer updated daily, but all toolkits and lessons are still available This page is adapted from the Evaluating Mental Health and Substance Use Information info sheet.",World Health Organization Mental Health Manual
Why do I need a plan?,"There are a lot of things you cant control. You cant control what happens next, how governments respond, or how your neighbours react to the pandemic. What you can do is make a plan and decide how youll manage the things you do control, like your ability to stay safe, follow public health measures, stay connected with loved ones, and take care of your mental and physical health. Events like a pandemic change a lot over time, and that uncertainty can add to fear and stress. The truth is that we dont know what will happen nextbut that doesnt mean were all helpless. You can do a lot. You can Map out a daily schedule, including times you can connect with loved ones online or by phone Plan out daily tasks and goals Give yourself a schedule to look up current information Make sure you have 14 days of healthy food and household supplies at home Keep medications on hand and talk to your doctor for advice if youre at increased risk Educate yourself on public health measures and figure out how youll follow those instructions Figure out how youll manage increased childcare demands, working for home, or other changes to your usual routine Determine if youll need financial supports like the Canada Emergency Response Benefit or BC Temporary Rent Supplement if your job is affected by COVID-19. If you anticipate a need, you can find application instructions and gather any documents or other pieces of information ahead of time Figure out how youll manage times when you feel overwhelmed or hopeless, like calming activities, the number for a local support or crisis line, a video chat with a loved one, or a way to connect with your mental health care provider Look for local support organizations, neighbourhood groups, or mutual aid groups if you need extra help or support or would like to help others in your community Some planning will be straightforward, but you may also encounter situations or times when its harder to see a solution or good plan of action. This is a great time to practice problem-solving skills. Problem-solving is a method that helps you break down a complicated situation into manageable pieces, look for realistic and unbiased information, brainstorm possible solutions, and test the solutions that you think might work well. Problem-solving is a helpful skill no matter what else is going on in the world, and its an empowering, methodical approach when you might otherwise feel overwhelmed or lost. Check out the following resources for more information about problem-solving Wellness Module 4 Problem-Solving www.heretohelp.bc.cawellness-modulewellness-module-4-problem-solving Problem-solving worksheet from Anxiety Canada www.anxietycanada.comsitesdefaultfilesProblemSolving.pdf Effective Problem-Solving in The Antidepressant Skills Workbook psychhealthandsafety.orgasw",World Health Organization Mental Health Manual
How can I maintain social connections? What if I feel lonely?,"A lot of people are alone right now, but we dont have to be lonely. Were all in this together. While you may be physically separated from friends, family members, and other loved ones, it has never been more important to maintain those social connections. Social connections are an opportunity to seek and share support, talk through difficult feelings, share a laugh, keep up-to-date with loved ones, and help each other cope. This pandemic is a lot for one person to deal with on their own. While measures like physical distancing and self-isolation are necessary to slow the spread of the virus, the physical separation can amplify a lot of challenging emotions like loneliness and fear. Think about the different ways to connect that are most meaningful for you. For example, you might prefer a video chat over a phone call, or you might prefer to text throughout the day rather than one set time for a video call. Then, work with your social networks to make a plan. You might video chat with your close friends in the evening and phone a family member once a week. Remember to be mindful of people who may not be online. Check in by phone and ask how you can help. The quality of your social connections matter. Mindlessly scrolling through social media and liking a few posts usually doesnt build strong social connections. Make sure you focus on strategies that actually make you feel included and connected. If your current strategies dont help you feel connected, problem-solve to see if you can find a solution. Everyone feels lonely at timesmaybe you recently moved to a new city, are changing your circle of friends, lost someone important in your life, or lost your job and also lost important social connections with coworkers. Other people may have physical connections to others but may feel like their emotional or social needs arent met. Measures like social distancing or self-isolation can make loneliness feel worse no matter why you feel lonely now. Reach out to the connections you do have. Suggest ways to keep in touch and see if you can set a regular time to connect. People may hesitate to reach out for a lot of different reasons, so dont be afraid to be the one who asks. Look for local community support groups and mutual aid groups on social media. This pandemic is bringing everyone together, so look for opportunities to make new connections. These groups are a great way to share your skills and abilities or seek help and support. Look for specialized support groups. Support groups are moving online, and there are a lot of different support lines to call if you need to talk to someone. To find community services in BC, call or text 211 or visit www.bc211.ca. If you need extra support, you can talk with a psychologist or counsellor for free You can access a free phone call with a Registered Psychologist though the Covid-19 Psychological Support Service from the BC Psychological Association. Visit www.psychologists.bc.cacovid-19-resources. You can access free, phone-based, short-term support with a counsellor from a new group called the BC COVID-19 Mental Health Network. Email bccovidtherapistsgmail.com to receive an appointment time. For youth people ages 12-24, you can talk with a counsellor for free through Foundry Virtual. Visit foundrybc.caget-supportvirtual. Call the BC Mental Health Support Line at 310-6789. Its available 247. Chat online with a Crisis Center volunteer at www.crisiscentrechat.ca daily between noon and 100am For older adults Call the Seniors Distress Line at 604-872-123 For youth and young adults Chat online with a volunteer at www.YouthinBC.com daily between noon and 100am For children and youth Call the Kids Help Phone at 1-800-668-6868 or visit kidshelpphone.ca For tips on managing loneliness, check out the following resources Coping with Loneliness from the Canadian Mental Health Association cmha.bc.cadocumentscoping-with-loneliness Loneliness and Social Connection issue of Visions Journal at www.heretohelp.bc.cavisionsloneliness-and-social-connection-vol14 Wellness Module 3 Social Support at www.heretohelp.bc.cawellness-modulewellness-module-3-social-support",World Health Organization Mental Health Manual
How can I take care of my physical health?,"Taking care of your physical health is also good for your mental health. Its more important than ever to keep yourself healthy. Try to eat as well as you can. It may be easier to reach for unhealthier comfort foods and snacks while you spend more time at home, but try to keep a balanced approach. When you stock up on groceries, dont ignore fresh fruit and vegetableswe still have everything we need to prepare food. Now that were advised to limit the amount of time we spend in public spaces like grocery stores, this is a great time to try out new fruits and vegetables that keep at home for longer periods of time. If its safer for you to stay home or you are in self-isolation, reach out for help. Many grocery stores and meal prep services offer safe, no-contact delivery. You can also ask family or friends to bring you groceries, or look for local COVID-19 support groups on social media. Its safest if others leave food and other supplies outside of your door to avoid spreading the virus. Exercise is an important part of mental health and well-being, stress management, and health sleep. However, its something that many people give up when they start to feel stressed or overwhelmed. If its safe for you to do so, spend time outside. You should still avoid busy areas or groups and stay at least two metres away from others, but there is no reason to avoid walks, runs, or other safe outdoor activities. Note that some municipalities, BC Parks, and Parks Canada have restricted some outdoor spaces to reduce crowds, so check the status of your local parks or trails and respect closurestheyre just keeping everyone safe. If you prefer to exercise indoors, you can also find many different exercises classes online. You can try yoga, follow a barre class, work on your cardio, pick up a new dumbbell routine, and keep up with Crossfit WODs from the comfort of your living room. Look for no-equipment exercise routines or classes if you dont already have equipment. Poor sleep can make even simple problems feel a lot worse than they really are. Poor sleep can affect your mood, your outlook, and your patience. Unfortunately, stress and anxiety can really take a toll on your sleep. If youre having a hard time sleeping, be proactive and practice healthy sleep habits. For more, check out Wellness Module 6 Getting a Good Nights Sleep at www.heretohelp.bc.cawellness-modulewellness-module-6-getting-a-good-nights-sleep. If you have other health problems like a chronic illness, check in with your doctor or health care team to see if you need to take any additional measures or precautions. Remember to plan ahead and do what you can to keep prescription or over-the-counter medications, medical supplies, supplements, or other health needs on hand.",World Health Organization Mental Health Manual
How can I use distraction to manage difficult thoughts or feelings?,"Distraction is a very valid tool to help you cope when everything feels overwhelming or when you feel lonely or isolated. If you dont have a lot of energy or focus right now, try low-effort distractions like watching TV, browsing Youtube, listening to a podcast or audiobook, playing a game on your phone, reading an easy book or magazine, or working on a simple art project. If you have more energy and focus, give yourself a to-do list every day you can clean and take care of projects around your home, work on hobbies, connect with family or friends, read a new book and catch up on your favourite TV shows. You can find interesting opportunities to take online courses from universities all over the world through MOOCs and other online learning platforms, you can learn a new language online or through apps, and you can learn new hobbies and activities. As more people have to practice social distancing or self-isolation, people are finding creative ways to bring the world into their homes you can tour museums and art galleries, Skype with a scientist, watch animals at zoos and nature preserves, and more. When normal schedules are disrupted, its easy to fall into unhelpful habits. Look for ways to keep yourself on track with healthier habits. You could set yourself goals every day or turn activities into a fun competition with friends or familywhoever takes the most language classes wins Many communities are using social media platforms like Facebook to organize support and help for neighbours. If you are healthy and its safe to do so, you can sign up to walk dogs, pick up groceries and household supplies, and help others who cant go out at the moment. This can be a great way to make new connections in your area, and helping others is good for your own mental health. Just be sure to follow good hygiene practices and physical distancingyour own health is important.",World Health Organization Mental Health Manual
