Questions,Answers,References
Where else can I get help?,"Where you go for help will depend on the nature of the problem andor symptoms and what best fits you. Often, the best place to start is by talking with someone you trust about your concerns, such as a family member, friend, clergy, healthcare provider, or other professionals. Having this social support is essential in healing from mental illness, and you will be able to ask them for referrals or recommendations for trusted mental health practitioners. Search for mental health resources in your area. Secondly, there are people and places throughout Nebraska that provide services to talk, to listen, and to help you on your journey to recovery. Thirdly, many people find peer support a helpful tool that can aid in their recovery. There are a variety of organizations that offer support groups for consumers, their family members, and friends. Some support groups are peer led while others may be led by a mental health professional.",World Health Organization Mental Health Manual
What should I know before starting a new medication?,"The best source of information regarding medications is the physician prescribing them. He or she should be able to answer questions such as 1. What is the medication supposed to do? 2. When should it begin to take effect, and how will I know when it is effective? 3. How is the medication taken and for how long? What food, drinks, other medicines, and activities should be avoided while taking this medication? 4. What are the side effects and what should be done if they occur? 5. What do I do if a dose is missed? 6. Is there any written information available about this medication? 7. Are there other medications that might be appropriate? 8. If so, why do you prefer the one you have chosen? 9. How do you monitor medications and what symptoms indicate that they should be raised, lowered, or changed? 10. All medications should be taken as directed. Most medications for mental illnesses do not work when taken irregularly, and extra doses can cause severe, sometimes dangerous side effects. Many psychiatric medications begin to have a beneficial effect only after they have been taken for several weeks.",World Health Organization Mental Health Manual
"If I feel better after taking medication, does this mean I am cured and can stop taking it?","It is not uncommon for people to stop taking their medication when they feel their symptoms are under control. Others may choose to stop taking their medication because of its side effects, without realizing that most side effects can be effectively managed. While it may seem reasonable to stop taking the medication, the problem is that most often, the symptoms will return. If you or your child is taking medication, it is very important that you work together with your doctor before making decisions about any changes in your treatment. You should talk with them about how you are doing and if there are side effects that make you unwilling to continue treatment. They will work with you to develop strategies for minimizing these side effects, or will create a plan for switching to a different treatment that will be a better fit.",World Health Organization Mental Health Manual
How can I get help paying for my medication?,"Some pharmaceutical companies offer prescription assistance programs to individuals and families with financial needs, while others offer special drug discount cards. These programs typically require a doctors consent and proof of your financial status. They may also require that you have either no health insurance or no prescription drug benefit through your health insurance.nIn addition, there are prescription programs you might qualify for. Visit Healthfinder.gov to learn more.",World Health Organization Mental Health Manual
Where can I go to find therapy,"Different kinds of therapy are more effective based on the nature of the mental health condition andor symptoms and the person who has them for example, children will benefit from a therapist who specializes in childrens mental health. However, there are several different types of treatment and therapy that can help.",American Psychological Association Clinical Guidelines
Where can I learn about types of mental health treatment?,"Mental health conditions are often treated with medication, therapy or a combination of the two. However, there are many different types of treatment available, including Complementary Alternative Treatments, self-help plans, and peer support. Treatments are very personal and should be discussed by the person with the mental health conditions and his or her team.",World Health Organization Mental Health Manual
What are the different types of mental health professionals?,There are many types of mental health professionals. Finding the right one for you may require some research.,World Health Organization Mental Health Manual
Where can I go to find a support group?,"Many people find peer support a helpful tool that can aid in their recovery. There are a variety of organizations that offer support groups for consumers, their family members and friends. Some support groups are peer-led, while others may be led by a mental health professional.",World Health Organization Mental Health Manual
Where can I go to find inpatient care?,"If you or someone you know is in crisis, inpatient care can help. Inpatient care can help people stabilize on new medications, adjust to new symptoms, or get the help they need.",World Health Organization Mental Health Manual
Where can I go to find other local services?,"There are likely plenty of resources that can be used to help you find mental health treatment in your community. These resources can help you find the right therapist, and enable you to better understand viable treatment options and the treatment process.",World Health Organization Mental Health Manual
Where can I learn more information about clinical trials?,"Sometimes, consumers of mental health services may consider participating in a research study when they have not experienced improvement despite having tried a variety of medications and treatments. Research studies also known as clinical trials may involve the use of new medications or new treatment approaches whose safety and effectiveness is being tested. While we support innovation in the field, consumers should be cautioned that there are risks associated with clinical trials make sure youre aware of them before you enroll.",World Health Organization Mental Health Manual
Where can I learn more information about creating a Psychiatric Advance Directive?,"Similar to a medical advance directive or a health care power of attorney, a psychiatric advance directive is a legal document completed in a time of wellness that provides instructions regarding treatment or services one wishes to have or not have during a mental health crisis, and may help influence his or her care.",World Health Organization Mental Health Manual
What is mental health?,"We all have mental health which is made up of our beliefs, thoughts, feelings and behaviours.",World Health Organization Mental Health Manual
What do I do if the support doesnt help?,"It can be difficult to find the things that will help you, as different things help different people. Its important to be open to a range of approaches and to be committed to finding the right help and to continue to be hopeful, even when some things dont work out.",World Health Organization Mental Health Manual
Can you prevent mental health problems?,"We can all suffer from mental health challenges, but developing our wellbeing, resilience, and seeking help early can help prevent challenges becoming serious.",World Health Organization Mental Health Manual
Are there cures for mental health problems?,"It is often more realistic and helpful to find out what helps with the issues you face. Talking, counselling, medication, friendships, exercise, good sleep and nutrition, and meaningful occupation can all help.",World Health Organization Mental Health Manual
What causes mental health problems?,"Challenges or problems with your mental health can arise from psychological, biological, and social, issues, as well as life events.",World Health Organization Mental Health Manual
What do I do if Im worried about my mental health?,"The most important thing is to talk to someone you trust. This might be a friend, colleague, family member, or GP. In addition to talking to someone, it may be useful to find out more information about what you are experiencing. These things may help to get some perspective on what you are experiencing, and be the start of getting help.",World Health Organization Mental Health Manual
How do I know if Im unwell?,"If your beliefs , thoughts , feelings or behaviours have a significant impact on your ability to function in what might be considered a normal or ordinary way, it would be important to seek help.",World Health Organization Mental Health Manual
What should I do if Im worried about a friend or relative?,This may depend on your relationship with them. Gently encouraging someone to seek appropriate support would be helpful to start with.,World Health Organization Mental Health Manual
How do I deal with someone telling me what to do?,"Some people may advise you on good evidence of what works with the best of intentions, but its important to find out what works best for you.",World Health Organization Mental Health Manual
Why do I need to keep informed?,"It may be tempting to try to block out the world altogether to avoid bad news, but its important to keep yourself informed. We all have to step up during a pandemic because we all have a part to play in reducing the spread of the virus. Its important that you know what must be done and how you should do it. This is important for the health of your neighbours and your own mental health, and taking action can help counter difficult feelings like hopelessness and despair. One study from people in China found that people who had reliable up-to-date information about the coronavirus and COVID-19 illness and accurate instructions on how they should act such as instructions around hand-washing and wearing a mask felt more resilient and felt better able to handle the virus. People who received good, accurate information reported lower levels of stress, anxiety, and depression. Staying informed does not mean that you have to follow the news all day. Check in a few times a day, sticking to trusted sources and media outlets. While social media can be a great way to keep in touch with family and friends, social media can also amplify bad advice, vague or untrue stories, and other unhelpful information. Be sure to use good critical thinking skills.",World Health Organization Mental Health Manual
How can I tell if health information is good or bad?,"Anyone can post anything online. Its up to the readers to think critically about information to decide if it seems helpful, truthful, or safe. Here are key points to keep in mind as you determine which information is worth considering and which information doesnt pass the test. Its so easy to spread information online, and we cant assume that the source were reading or watching is the original source. Before you can evaluate anything, you need to know where the claims come from and determine if its a reliable source. Reliable sources on the coronavirus and COVID-19 illness include the World Health Organization WHO, Government of Canada ministries and agencies like Health Canada and the Public Health Agency of Canada, the Government of BC ministries and agencies like the BC Ministry of Health, and the BC Centre for Disease Control BCCDC. Scientists and researchers at universities and other institutions and health sciences professionals are also important sources of information. Headlines and titles need to be simple and short, so they can sometimes be misleading on their own. They may also be purposefully shocking or controversial to entice you to click to read more. Websites that belong to governments, government-funded agencies, well-known health providers, universities, or groups of medical professionals are generally the most reliable. Be careful of sites that dont list the author or dont tell you much about themselves. Double-check the author and the credentials of any experts quoted or cited to see if they are actually experts in the topic being discussed. Can you find other evidence from other sources to support the claims? Does the author list their sources? Are the sources legitimate, like research journals? Unhelpful sources want you to feel a certain way scared, angry, distrustful, vulnerable. Phrases like Skyrocketing rates of infection are sensational and theyre meant to make people feel afraid. On the other hand, factual statements like We have 50 new cases in BC give you important information without playing into your emotions. Helpful news or information sources want you feel informed and empowered. Who is paying for the site? What products or services are being advertised? What links or other sites do they promote? Are you learning something from a story or experience, or are you simply being directed to buy a product or service? Social media can be a great way to keep in touch with family and friends, especially as we practice physical distancing or self-isolation. Social media can also be an important way to learn from health experts and connect to support services and mutual aid groups in your community. Like any other source of information, its important to use good critical thinking skills when you use social media. Studies find that searching for health information on social media generally has very mixed results. Youll see both very poor-quality sources next to good-quality sources, and its up to you to decide which is which. In addition, social media posts tend to be short and rarely capture everything you need to consider. They are generally useful as a way to start learning or exploring different points of view rather than a place to gather all the information. Visit www.mediasmarts.ca to learn more about digital and media literacy Visit www.healthnewsreview.org to learn more about thinking critically around health claims this resource is no longer updated daily, but all toolkits and lessons are still available This page is adapted from the Evaluating Mental Health and Substance Use Information info sheet.",World Health Organization Mental Health Manual
Why do I need a plan?,"There are a lot of things you cant control. You cant control what happens next, how governments respond, or how your neighbours react to the pandemic. What you can do is make a plan and decide how youll manage the things you do control, like your ability to stay safe, follow public health measures, stay connected with loved ones, and take care of your mental and physical health. Events like a pandemic change a lot over time, and that uncertainty can add to fear and stress. The truth is that we dont know what will happen nextbut that doesnt mean were all helpless. You can do a lot. You can Map out a daily schedule, including times you can connect with loved ones online or by phone Plan out daily tasks and goals Give yourself a schedule to look up current information Make sure you have 14 days of healthy food and household supplies at home Keep medications on hand and talk to your doctor for advice if youre at increased risk Educate yourself on public health measures and figure out how youll follow those instructions Figure out how youll manage increased childcare demands, working for home, or other changes to your usual routine Determine if youll need financial supports like the Canada Emergency Response Benefit or BC Temporary Rent Supplement if your job is affected by COVID-19. If you anticipate a need, you can find application instructions and gather any documents or other pieces of information ahead of time Figure out how youll manage times when you feel overwhelmed or hopeless, like calming activities, the number for a local support or crisis line, a video chat with a loved one, or a way to connect with your mental health care provider Look for local support organizations, neighbourhood groups, or mutual aid groups if you need extra help or support or would like to help others in your community Some planning will be straightforward, but you may also encounter situations or times when its harder to see a solution or good plan of action. This is a great time to practice problem-solving skills. Problem-solving is a method that helps you break down a complicated situation into manageable pieces, look for realistic and unbiased information, brainstorm possible solutions, and test the solutions that you think might work well. Problem-solving is a helpful skill no matter what else is going on in the world, and its an empowering, methodical approach when you might otherwise feel overwhelmed or lost. Check out the following resources for more information about problem-solving Wellness Module 4 Problem-Solving www.heretohelp.bc.cawellness-modulewellness-module-4-problem-solving Problem-solving worksheet from Anxiety Canada www.anxietycanada.comsitesdefaultfilesProblemSolving.pdf Effective Problem-Solving in The Antidepressant Skills Workbook psychhealthandsafety.orgasw",World Health Organization Mental Health Manual
How can I maintain social connections? What if I feel lonely?,"A lot of people are alone right now, but we dont have to be lonely. Were all in this together. While you may be physically separated from friends, family members, and other loved ones, it has never been more important to maintain those social connections. Social connections are an opportunity to seek and share support, talk through difficult feelings, share a laugh, keep up-to-date with loved ones, and help each other cope. This pandemic is a lot for one person to deal with on their own. While measures like physical distancing and self-isolation are necessary to slow the spread of the virus, the physical separation can amplify a lot of challenging emotions like loneliness and fear. Think about the different ways to connect that are most meaningful for you. For example, you might prefer a video chat over a phone call, or you might prefer to text throughout the day rather than one set time for a video call. Then, work with your social networks to make a plan. You might video chat with your close friends in the evening and phone a family member once a week. Remember to be mindful of people who may not be online. Check in by phone and ask how you can help. The quality of your social connections matter. Mindlessly scrolling through social media and liking a few posts usually doesnt build strong social connections. Make sure you focus on strategies that actually make you feel included and connected. If your current strategies dont help you feel connected, problem-solve to see if you can find a solution. Everyone feels lonely at timesmaybe you recently moved to a new city, are changing your circle of friends, lost someone important in your life, or lost your job and also lost important social connections with coworkers. Other people may have physical connections to others but may feel like their emotional or social needs arent met. Measures like social distancing or self-isolation can make loneliness feel worse no matter why you feel lonely now. Reach out to the connections you do have. Suggest ways to keep in touch and see if you can set a regular time to connect. People may hesitate to reach out for a lot of different reasons, so dont be afraid to be the one who asks. Look for local community support groups and mutual aid groups on social media. This pandemic is bringing everyone together, so look for opportunities to make new connections. These groups are a great way to share your skills and abilities or seek help and support. Look for specialized support groups. Support groups are moving online, and there are a lot of different support lines to call if you need to talk to someone. To find community services in BC, call or text 211 or visit www.bc211.ca. If you need extra support, you can talk with a psychologist or counsellor for free You can access a free phone call with a Registered Psychologist though the Covid-19 Psychological Support Service from the BC Psychological Association. Visit www.psychologists.bc.cacovid-19-resources. You can access free, phone-based, short-term support with a counsellor from a new group called the BC COVID-19 Mental Health Network. Email bccovidtherapistsgmail.com to receive an appointment time. For youth people ages 12-24, you can talk with a counsellor for free through Foundry Virtual. Visit foundrybc.caget-supportvirtual. Call the BC Mental Health Support Line at 310-6789. Its available 247. Chat online with a Crisis Center volunteer at www.crisiscentrechat.ca daily between noon and 100am For older adults Call the Seniors Distress Line at 604-872-123 For youth and young adults Chat online with a volunteer at www.YouthinBC.com daily between noon and 100am For children and youth Call the Kids Help Phone at 1-800-668-6868 or visit kidshelpphone.ca For tips on managing loneliness, check out the following resources Coping with Loneliness from the Canadian Mental Health Association cmha.bc.cadocumentscoping-with-loneliness Loneliness and Social Connection issue of Visions Journal at www.heretohelp.bc.cavisionsloneliness-and-social-connection-vol14 Wellness Module 3 Social Support at www.heretohelp.bc.cawellness-modulewellness-module-3-social-support",World Health Organization Mental Health Manual
How can I take care of my physical health?,"Taking care of your physical health is also good for your mental health. Its more important than ever to keep yourself healthy. Try to eat as well as you can. It may be easier to reach for unhealthier comfort foods and snacks while you spend more time at home, but try to keep a balanced approach. When you stock up on groceries, dont ignore fresh fruit and vegetableswe still have everything we need to prepare food. Now that were advised to limit the amount of time we spend in public spaces like grocery stores, this is a great time to try out new fruits and vegetables that keep at home for longer periods of time. If its safer for you to stay home or you are in self-isolation, reach out for help. Many grocery stores and meal prep services offer safe, no-contact delivery. You can also ask family or friends to bring you groceries, or look for local COVID-19 support groups on social media. Its safest if others leave food and other supplies outside of your door to avoid spreading the virus. Exercise is an important part of mental health and well-being, stress management, and health sleep. However, its something that many people give up when they start to feel stressed or overwhelmed. If its safe for you to do so, spend time outside. You should still avoid busy areas or groups and stay at least two metres away from others, but there is no reason to avoid walks, runs, or other safe outdoor activities. Note that some municipalities, BC Parks, and Parks Canada have restricted some outdoor spaces to reduce crowds, so check the status of your local parks or trails and respect closurestheyre just keeping everyone safe. If you prefer to exercise indoors, you can also find many different exercises classes online. You can try yoga, follow a barre class, work on your cardio, pick up a new dumbbell routine, and keep up with Crossfit WODs from the comfort of your living room. Look for no-equipment exercise routines or classes if you dont already have equipment. Poor sleep can make even simple problems feel a lot worse than they really are. Poor sleep can affect your mood, your outlook, and your patience. Unfortunately, stress and anxiety can really take a toll on your sleep. If youre having a hard time sleeping, be proactive and practice healthy sleep habits. For more, check out Wellness Module 6 Getting a Good Nights Sleep at www.heretohelp.bc.cawellness-modulewellness-module-6-getting-a-good-nights-sleep. If you have other health problems like a chronic illness, check in with your doctor or health care team to see if you need to take any additional measures or precautions. Remember to plan ahead and do what you can to keep prescription or over-the-counter medications, medical supplies, supplements, or other health needs on hand.",World Health Organization Mental Health Manual
How can I use distraction to manage difficult thoughts or feelings?,"Distraction is a very valid tool to help you cope when everything feels overwhelming or when you feel lonely or isolated. If you dont have a lot of energy or focus right now, try low-effort distractions like watching TV, browsing Youtube, listening to a podcast or audiobook, playing a game on your phone, reading an easy book or magazine, or working on a simple art project. If you have more energy and focus, give yourself a to-do list every day you can clean and take care of projects around your home, work on hobbies, connect with family or friends, read a new book and catch up on your favourite TV shows. You can find interesting opportunities to take online courses from universities all over the world through MOOCs and other online learning platforms, you can learn a new language online or through apps, and you can learn new hobbies and activities. As more people have to practice social distancing or self-isolation, people are finding creative ways to bring the world into their homes you can tour museums and art galleries, Skype with a scientist, watch animals at zoos and nature preserves, and more. When normal schedules are disrupted, its easy to fall into unhelpful habits. Look for ways to keep yourself on track with healthier habits. You could set yourself goals every day or turn activities into a fun competition with friends or familywhoever takes the most language classes wins Many communities are using social media platforms like Facebook to organize support and help for neighbours. If you are healthy and its safe to do so, you can sign up to walk dogs, pick up groceries and household supplies, and help others who cant go out at the moment. This can be a great way to make new connections in your area, and helping others is good for your own mental health. Just be sure to follow good hygiene practices and physical distancingyour own health is important.",World Health Organization Mental Health Manual
How can I reframe the situation and find more balanced perspectives?,"How you think about something impacts your feelings and your behaviours. When we feel stressed out, angry, or fearful, its hard to look at the situation realistically and see all of the options we have. Remember we all control our own actions and reactions, no matter whats going on in the world. We can call do something about this pandemic. People often overestimate the negative partstheir own feelings, their own abilities to manage a difficult situation, or the situation itselfand underestimate positive partstheir own abilities to care for themselves and loved ones, their support networks, and opportunities. How does the thought Were never going to make it through this make you feel? It likely doesnt feel goodand it isnt even true. Challenging negative, unhelpful thoughts can improve your mood, validate your ability to get through this, and help you see new options or opportunities to stay well. Stop and notice thoughts that come up. How do they make you feel? Do your thoughts seem realistic if you look at the situation more objectively? How can you reframe the thought to make it more productive or hopeful? Can you find any positive aspects or think of new ways to approach the situation? Here are a few example Im so mad that my event was cancelled This sucks I know this is the safer option for everyone. When its rescheduled, Ill enjoy it more because I wont have to worry about getting sick or spreading the illness. I hate spending so much time at home. This is so boring. Im doing my part to keep my neighbours safe. Its worth it because it keeps people healthy. Im having a hard time getting used to my new schedule. This is so frustrating. Ill get used to this soon, just like I adapted the last time I had to change my schedule. Now that Im home more, Ill have more time to finish the projects I havent touched in months and Im excited to see the end results. Im really scared and I dont know what to do. I feel so overwhelmed right now. It makes sense that I feel scaredpeople are getting sick and we dont know when things will go back to normal. But there are a lot of things I can do to keep healthy, and Im going to do some research so I can do my best. When I focus on the things I can do, everything feels more manageable. Were going to be stuck inside forever. Im already sick of this. I understand that it will take some time to manage COVID-19, and I trust that health care professionals and scientists are working as fast as they can. I know this will end eventually and life will go back to normal. The goal is not to ignore the bad or uncomfortable parts of the situation or deny that theres a problem. Instead, this exercise can help you understand the situation more realistically and see the parts that you can control right now.",World Health Organization Mental Health Manual
How can I challenge thinking traps?,"What you tell yourself about a situation affects how you feel and what you do. Sometimes your interpretation of a situation can get distorted and you only focus on the negative aspectsthis is normal and expected. However, when you interpret situations too negatively, you might feel worse. Youre also more likely to respond to the situation in ways that are unhelpful in the long term. These automatic thoughts and assumptions are sometimes called thinking traps. Everyone falls into unbalanced thinking traps from time to time. Youre most likely to distort your interpretation of things when you already feel sad, angry, anxious, depressed or stressed. Youre also more vulnerable to thinking traps when youre not taking good care of yourself, like when youre not eating or sleeping well. Here are some common thinking traps Thinking that a negative situation is part of a constant cycle of bad things that happen. People who overgeneralize often use words like always or never. I was really looking forward to that concert, and now its cancelled. This always happens to me I never get to do fun things Seeing things as only right or wrong, good or bad, perfect or terrible. People who think in black and white terms see a small mistake as a total failure. I wanted to eat healthier, but I ate too many snacks today. This plan is a total failure Saying only negative things about yourself or other people. I made a mistake. Im stupid My boss told me that I made a mistake. My boss is a total jerk Predicting that something bad will happen without any evidence. Ive been doing what I can to stay home and reduce the risks, but I just know that Im going to get sick. Focusing only on the negative parts of a situation and ignoring anything good or positive. I know theres a lot I can do at home, but Im just so sick of this. Everything is terrible. Believing that bad feelings or emotions reflect the situation. I feel scared and overwhelmed right now, so that must mean everything is very bad and will never get better. Telling yourself how you should or must act. I should be able to handle this without getting upset and crying Here are helpful strategies to challenge common thinking traps. Many people find their mood and confidence improve after working through these skills. You can also find worksheets to help you go through each step at www.heretohelp.bc.ca. Dont try to get out of a thinking trap by just telling yourself to stop thinking that way. This doesnt let you look at the evidence and challenge the thinking trap. When you try and push upsetting thoughts away, they are more likely to keep popping back into your mind. Ask yourself the following questions when something upsetting happens What is the situation? What actually happened? Only include facts that everyone would agree on. What are your thoughts? What are you telling yourself? What are your emotions? How do you feel? What are your behaviours? How are you reacting? What are you doing to cope? Take a look at the thoughts youve listed. Are you using any of the thinking traps and falling into distorted thinking patterns? Its common to fall into more than one thinking trap. Go back to the thinking trap list and identify which ones apply to you and your current situation. The best way to break a thinking trap is to look at your thoughts like a scientist and consider the hard facts. Use the evidence youve collected to challenge your thinking traps. Here are some ways to do that Try to find evidence against the thought. If you make a mistake at work, you might automatically think, I cant do anything right I must be a terrible employee When this thought comes up, you might challenge it by asking, Is there any evidence to support this thought? Is there any evidence to disprove this thought? You might quickly realize that your boss has complimented your work recently, which doesnt support the idea that youre a bad employee. Ask yourself, Would I judge other people if they did the same thing? Am I being harder on myself than I am on other people? This is a great method for challenging thinking traps that involve harsh self-criticism. Find out whether other people you trust agree with your thoughts. For example, you might have trouble with one of your kids and think, Good parents wouldnt have this kind of problem. To challenge this thought, you can ask other parents if theyve ever had any problems with their kids. Test your beliefs in person. For example, if you think that your friends dont care about you, call a few friends and make plans to start a regular video call. If you assumed that they will all say no, you may be pleasantly surprised to hear that they do want to see you. Once you have worked through some challenges, try to think of a more balanced thought to replace the old thinking traps. Lets use the following example I feel sad and overwhelmed. Im having a hard time figuring out what to do. Im the worst I should be able to handle this Labeling Should statements Examine the evidence I have a lot of challenges right now. Im worried about my family and everything seems to change so quickly. Ive successfully handled complicated situations in the past, so I know I can do this. Its okay to feel upset right nowtheres a lot going on. Im going to think about how I got through past situations and see what worked for me. Im trying to do a lot on my own, so Im going to talk to my family so we can make a plan and work together. Try the Healthy Thinking Worksheet at www.heretohelp.bc.ca Check out Anxiety Canadas articles Helpful Thinking and Thinking Traps This page is adapted from Wellness Module 8 Healthy Thinking at www.heretohelp.bc.cawellness-modulewellness-module-8-healthy-thinking.",World Health Organization Mental Health Manual
